2022-05-07T19:08:57.110Z [warn] => 	[GET] => /api/productos-test2
2022-05-07T19:09:04.744Z [warn] => 	[GET] => /api/productos-testNOEXISTE
2022-06-08T18:02:58.280Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:39:19.049Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-10T20:39:19.991Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:39:20.002Z [warn] => 	[GET] => /api/nuevafoto
2022-06-10T20:39:20.970Z [warn] => 	[GET] => /api/foto4
2022-06-10T20:39:20.976Z [warn] => 	[GET] => /api/foto6
2022-06-10T20:39:20.985Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-10T20:40:02.885Z [warn] => 	[GET] => /api/nuevafoto
2022-06-10T20:40:02.896Z [warn] => 	[GET] => /api/foto4
2022-06-10T20:40:03.913Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:40:03.931Z [warn] => 	[GET] => /api/foto6
2022-06-10T20:40:03.940Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-10T20:40:04.858Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-10T20:41:06.450Z [warn] => 	[GET] => /api/foto4
2022-06-10T20:41:06.483Z [warn] => 	[GET] => /api/nuevafoto
2022-06-10T20:41:07.419Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:41:07.427Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-10T20:41:07.437Z [warn] => 	[GET] => /api/foto6
2022-06-10T20:41:08.360Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-10T20:41:18.500Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-10T20:41:19.436Z [warn] => 	[GET] => /api/nuevafoto
2022-06-10T20:41:19.443Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-10T20:41:20.344Z [warn] => 	[GET] => /api/foto6
2022-06-10T20:41:20.351Z [warn] => 	[GET] => /api/foto4
2022-06-10T20:41:20.363Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:41:38.229Z [warn] => 	[GET] => /api/nuevafoto
2022-06-10T20:41:38.255Z [warn] => 	[GET] => /api/foto4
2022-06-10T20:41:38.259Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-10T20:41:39.188Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:41:39.195Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-10T20:41:39.210Z [warn] => 	[GET] => /api/foto6
2022-06-10T20:41:39.216Z [warn] => 	[GET] => /api/foto19
2022-06-10T20:42:19.162Z [warn] => 	[GET] => /api/avatarPrueba
2022-06-10T20:42:58.817Z [warn] => 	[GET] => /favicon.ico
2022-06-10T20:43:06.237Z [warn] => 	[GET] => /api/nuevafoto
2022-06-10T20:43:07.182Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-10T20:43:07.191Z [warn] => 	[GET] => /api/foto4
2022-06-10T20:43:08.163Z [warn] => 	[GET] => /api/foto5
2022-06-10T20:43:08.169Z [warn] => 	[GET] => /api/foto6
2022-06-10T20:43:08.181Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-10T20:43:09.090Z [warn] => 	[GET] => /api/foto19
2022-06-17T14:39:54.744Z [warn] => 	[GET] => /favicon.ico
2022-06-17T14:40:58.384Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T14:40:58.395Z [warn] => 	[GET] => /api/foto4
2022-06-17T14:40:59.330Z [warn] => 	[GET] => /api/foto6
2022-06-17T14:40:59.334Z [warn] => 	[GET] => /api/foto5
2022-06-17T14:40:59.339Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-17T14:41:00.236Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T14:41:00.247Z [warn] => 	[GET] => /api/foto19
2022-06-17T14:41:05.090Z [warn] => 	[GET] => /favicon.ico
2022-06-17T15:09:32.455Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T15:09:33.399Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T15:09:33.412Z [warn] => 	[GET] => /api/foto5
2022-06-17T15:09:34.321Z [warn] => 	[GET] => /api/foto4
2022-06-17T15:09:34.327Z [warn] => 	[GET] => /api/foto6
2022-06-17T15:09:34.338Z [warn] => 	[GET] => /api/foto19
2022-06-17T15:09:35.284Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-17T15:09:46.506Z [warn] => 	[GET] => /favicon.ico
2022-06-17T18:23:24.457Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T18:23:25.452Z [warn] => 	[GET] => /api/foto5
2022-06-17T18:23:25.462Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T18:23:26.440Z [warn] => 	[GET] => /api/foto19
2022-06-17T18:23:26.443Z [warn] => 	[GET] => /api/foto4
2022-06-17T18:23:26.452Z [warn] => 	[GET] => /api/foto6
2022-06-17T18:23:27.376Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-17T18:40:22.698Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T18:40:23.707Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T18:40:23.722Z [warn] => 	[GET] => /api/foto5
2022-06-17T18:40:24.660Z [warn] => 	[GET] => /api/foto6
2022-06-17T18:40:24.668Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-17T18:40:24.678Z [warn] => 	[GET] => /api/foto19
2022-06-17T18:40:25.600Z [warn] => 	[GET] => /api/foto4
2022-06-17T18:40:46.414Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T18:40:46.444Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-17T18:40:46.451Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T18:40:46.473Z [warn] => 	[GET] => /api/foto4
2022-06-17T18:40:46.861Z [warn] => 	[GET] => /api/foto19
2022-06-17T18:40:47.015Z [warn] => 	[GET] => /api/foto20
2022-06-17T18:40:47.355Z [warn] => 	[GET] => /api/foto6
2022-06-17T18:40:47.436Z [warn] => 	[GET] => /api/foto5
2022-06-17T18:41:19.960Z [warn] => 	[GET] => /api/foto4
2022-06-17T18:41:19.995Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T18:41:20.853Z [warn] => 	[GET] => /api/foto5
2022-06-17T18:41:20.877Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T18:41:20.893Z [warn] => 	[GET] => /api/foto6
2022-06-17T18:41:21.782Z [warn] => 	[GET] => /api/nuevafoto3
2022-06-17T18:41:21.789Z [warn] => 	[GET] => /api/foto20
2022-06-17T18:41:21.796Z [warn] => 	[GET] => /api/foto19
2022-06-17T19:05:20.692Z [warn] => 	[GET] => /api/nuevafoto
2022-06-17T19:05:21.674Z [warn] => 	[GET] => /api/foto5
2022-06-17T19:05:21.689Z [warn] => 	[GET] => /api/nuevofoto2
2022-06-17T19:05:22.596Z [warn] => 	[GET] => /api/foto19
