2022-05-18T18:37:03.104Z [error] => 	Prueba error
2022-05-25T14:28:15.573Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-16T22:51:06.004Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:53:58.603Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:55:39.403Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:56:40.157Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:56:42.097Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:58:23.961Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:59:02.667Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T22:59:04.774Z [error] => 	Hubo un error al guardar: carritos validation failed: emailUsuario: Path `emailUsuario` is required.
2022-07-16T23:02:48.547Z [error] => 	Hubo un error al guardar: carritos validation failed: productos: Cast to Array failed for value "[]" (type Array) at path "productos"
2022-07-16T23:10:16.385Z [error] => 	Hubo un error al guardar: carritos validation failed: productos: Cast to Array failed for value "[]" (type Array) at path "productos"
2022-07-16T23:11:19.519Z [error] => 	Hubo un error al guardar: carritos validation failed: productos: Cast to Array failed for value "[]" (type Array) at path "productos"
2022-07-19T01:58:25.065Z [error] => 	Hubo un error al obtener todos los items: MongoClient must be connected to perform this operation
2022-07-19T01:59:11.409Z [error] => 	Hubo un error al obtener todos los items: MongoClient must be connected to perform this operation
2022-07-19T01:59:24.126Z [error] => 	Hubo un error al obtener el item: MongoClient must be connected to perform this operation
2022-07-19T01:59:24.391Z [error] => 	Hubo un error al obtener todos los items: MongoClient must be connected to perform this operation
2022-07-19T02:00:04.481Z [error] => 	Hubo un error al obtener el item: MongoClient must be connected to perform this operation
2022-07-19T02:00:04.811Z [error] => 	Hubo un error al obtener todos los items: MongoClient must be connected to perform this operation
2022-07-19T02:17:00.749Z [error] => 	Hubo un error al obtener el item: MongoClient must be connected to perform this operation
2022-07-19T02:17:01.198Z [error] => 	Hubo un error al obtener todos los items: MongoClient must be connected to perform this operation
2022-07-19T02:18:31.095Z [error] => 	Hubo un error al obtener el item: MongoClient must be connected to perform this operation
2022-07-19T02:18:31.376Z [error] => 	Hubo un error al obtener todos los items: MongoClient must be connected to perform this operation
2022-07-19T03:07:26.316Z [error] => 	Hubo un error al guardar: usuarios validation failed: password: Cast to string failed for value "Promise { <pending> }" (type Promise) at path "password"
2022-07-19T03:12:36.151Z [error] => 	Error signing up >>>  data must be a string or Buffer and salt must either be a salt string or a number of rounds
2022-07-19T03:16:03.451Z [error] => 	Hubo un error al guardar: usuarios validation failed: password: Cast to string failed for value "Promise { <pending> }" (type Promise) at path "password"
2022-07-21T02:31:32.909Z [error] => 	Error signing up >>>  user is not defined
2022-07-21T02:32:39.972Z [error] => 	Error signing up >>>  user is not defined
2022-07-21T20:00:55.561Z [error] => 	Hubo un error al guardar: ENOENT: no such file or directory, open 'C:\Users\sebab\Documents\Cursos\Carrera Desarrollo Backend\Curso Programación Backend\Proyecto Final - Ultima entrega\models\dataFileSystem\mensajesNuevoFormato.txt'
2022-07-22T02:04:55.410Z [error] => 	Hubo un error al guardar: DTO is not defined
2022-07-22T02:05:50.514Z [error] => 	Hubo un error al guardar: DTO is not defined
2022-07-22T02:06:41.222Z [error] => 	Hubo un error al guardar: this.DTO is not a constructor
2022-07-22T02:11:28.368Z [error] => 	Hubo un error al guardar: this.DTO is not a constructor
2022-07-22T02:53:29.599Z [error] => 	Hubo un error al guardar: E11000 duplicate key error collection: ecommerce.productos index: codigo_1 dup key: { codigo: "0002" }
2022-07-22T03:34:55.754Z [error] => 	Error signing in >>>  usuariosDao.getByEmail is not a function
2022-07-22T03:39:39.930Z [error] => 	Error signing in >>>  ContenedorFileSystem.getAll is not a function
2022-07-22T03:40:39.908Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-22T03:41:30.757Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-22T03:41:54.995Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-22T03:42:31.092Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-22T15:07:26.964Z [error] => 	Hubo un error al eliminar el objeto: Cannot read properties of undefined (reading '_id')
2022-07-22T19:18:22.023Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-22T20:46:38.831Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-23T14:55:57.547Z [error] => 	Error signing in >>>  req.flash is not a function
2022-07-23T15:04:30.867Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-23T15:10:17.881Z [error] => 	Error signing in >>>  Wrong username or password
2022-07-23T15:15:27.934Z [error] => 	Error signing in >>>  Wrong username or password
